essay_id,prompt_id,Group,word_count,score,text_clean,aes_essay_index,aes_score,aes_word_count,aes_sentence_count,aes_mean_sentence_length,aes_avg_word_freq,aes_mtld,aes_awl_ratio,aes_clause_density,aes_dependency_depth,aes_noun_complexity,aes_connective_density,aes_lexical_overlap,aes_grammar_errors_per_100
T00010,Reducing Stress,B,277,5.50000,"Reducing stress is a highly personal endeavor, and what works for one person may not be effective for another. However, there are a few methods that have consistently proven to be effective for a wide range of people. One of the most universally endorsed ways to combat stress is through regular physical exercise. Engaging in activities like running swimming, or even a brisk walk can release endorphins, the body's natural stress relievers. For example, someone who incorporates a daily jog into their routine often finds that this time allows them to clear their mind and focus on something other that their daily worries. this physical exertion not only improves mood but also promotes better sleep, which is crucial for stress management.

Another method for alleviating stress is through mindful practices such as mediation or yoga These activities help to center the mind, promote relaxation, and enhance one's ability to cope with stressors. Practice yoga can help release physical tension and improve mental clarity. Similarly, mediation encourages a state of calm and mindfulness.

Engaging in hobbies or creative pursuits is another valuable way to reduce stress. Activities such as reading, gardening, painting, or playing a musical instrument can provide a much-needed escape from the pressure of everyday life. For example, someone who enjoys gardening may find solace in tending to their plants. Experiencing a sense of accomplishment and peace as they watch their garden flourish.

In conclusion, while there are many ways to reduce stress, physical exercise, mindfulness practices, and engaging in hobbies each offer unique benefits that can help individuals manage their stress more effectively.",27,72.55263,266,15,17.73333,5.56842,140.73118,0.13910,0.03383,2.87333,1.31579,1.50376,0.05074,0.37594
T00066,Reducing Stress,B,532,5.50000,"Stress, though a negative, is a normal part of our lives. While it can be true that we can say that were not stressed when we were younger, I'm sure we will all come to a point of experiencing noticeable stress. Over time, when stress is not handled well, it accumulates and can be detrimental to different aspects of our lives. Accumulated stress can affect our productivity, decision-making, and various components of our well-being, the physical, emotional, and mental health. These are why we need to be equipped with ways to manage stress. The best ways I know are: proper sleep; regular exercise; and other positive habits.

Sleep is a crucial necessity of our body. It gives us the energy to face on another day! While we sometimes consider this element to be optional, thinking that productivity is equal to time spent on a task, we just end up adding more stress to ourselves. It is not optional! And we really shouldn't just sleep for the sake of sleeping, we need to have regular eight hours of sleep time. Studies continue to back up that sleep simply just adds to our longevity. We live longer when we sleep good!

Another thing is regular exercise. It has been considered to be a better alternative to anti-depressant drugs! When we exercise, even for a good 30 minutes a day, and not just sweating because it's hot where we live but our hearts beating like crazy, we've done a great deal for our well-being. We don't just add up to our muscles but also to our brain power! Exercising may seem to be stressful, but it's the other way around. It combats stress. Keeping exercise a regular thing in our routine makes it easier and more fun.

Now, as you can see, the two things I've mentioned are not just the activity themselves. It's not just sleeping, but sleeping properly. It's not just bursting out on an exercise, but making it regular. What's a word for this way of including an activity regular in our lives? Yes, a habit! Positive habits make it so that we can fill our days with a pattern. When we do the same good things over and over again, we will not accumulate stress doing them! An example would be setting a time of the day for homeworks. If we do it an hour in the morning and then we study at night the next day, we won't be on a good rythm. But if we decide on a time suitable for us, and we do it for a week, and then a month, or even a whole semester? It will be so easy to do.

These things are very specific ways to manage and reduce stress. And it all boils down to discipline. As stress is consistently present in our lives, we need to be disciplined to also be consistent in doing the ways to prevent the accumulation of it. Whatever good practice we have for ourselves will do, just be disciplined with it. Living a disciplined life makes a great life. Even with difficult circumstances or stressful happenings, we will be able to make it meaningful. That is, if we are disciplined.",28,50.80032,539,37,14.56757,6.01074,70.20482,0.07050,0.06679,2.39553,1.61458,0.55659,0.08205,0.37106
T00133,University Living,E,332,5.50000,"Living in a dormitory is a preferable housing option for a new student like me because university dormitories provide convenient access to university facilities, provide company of like-minded students, and help in university transition for new students like me.

First, living in a university dormitory provides a student like me easy access to many university facilities. Since most dormitories are built within university grounds, they are most likely close in proximity to essential services like the library, cafeteria, testing center, and classrooms. This would save so much time and and effort to access compared to off-campus apartments. Imagine having everything you need within walking distance without worrying about transportation costs or time pressure. This convenience would be beneficial to a new students and would lessen the stress of time and transportation. This is why living in dormitories is more convenient than off-campus apartments because of accessibility.

Second, living in university dormitories would bring more opportunities to meet and socialize with like-minded students. Having like-minded individuals whose main goal is to succeed academically as friends and company makes studying easier and more effective. These individuals are easier to find in a university dormitory. Group meetings, hangouts, and socializations can be easily arranged when friends and acquaintances live in the same building or close by my friends. Living in a dormitory where people live in one place or close provides a better likelihood of meeting like -minded people to help me succeed in my university life.

Third, living in dormitories provides a new students like me assistance in adapting an transitioning to university life easier. Living away from home could be stressful and nerve--wracking to many students. There is pressure in adjusting to e new environment and culture.

In summary, I think that dormitories are a better option for a new students like me. Dormitories provides easy access to university facilities, access to like minded company, and assist students in assist students in adapting to university life easier. Given these resources, student",29,51.55177,335,18,18.61111,5.72693,64.53676,0.09254,0.04179,3.20588,1.19048,0.59701,0.11401,2.08955
T00162,University Living,E,252,5.50000,"When it comes to choosing a place to live, university students often have two main options: university dormitories or apartments in the community. Each options has its own advantages, but i would prefer to live in a university dormitory. There are several reasons for this preference, including convenience, community, and cost.

First, living in a dormitory is convenient. Dorms are close to classes and libraries. So i can save time and money on transportation. Many dorms also include meal plans, so i don`t have to cook or buy groceries.

Second, dormitories offer a strong sense of community. I can meet new friends and join social events. There are common areas where students can hang out and study together. This helps me feel supported and connected.

Finally, student dormitories can be more cost-effective than renting an apartment in the community. The cost of living in a dormitory often includes utilities, internet and sometimes even laundry services. This makes it easier to budget and plan expenses. In contrast, renting an apartment often involves additional costs such as utilities, internet, and sometimes furniture. Managing all these expenses can be challenging, especially for students who are new to living independently.

In conclusion, while both university dormitories and community apartments have their own benefits, i would prefer to live in university dormitory. The convenience, sense of community, and cost-effectiveness make dorm life an ideal choice for me. Living in a dormitory would allow me to focus on my studies, build strong relationships, and manage my finances more easily.",30,59.75630,254,19,13.36842,5.72197,104.67879,0.07874,0.03937,2.30303,1.25676,0.39370,0.04707,2.75591
T00185,Mandatory Attendance,A,242,5.50000,"As a student, I strongly agree that attending classes should be fundamental expectation rather than optional. Attending classes provides a structured framework that enhances a learning effectiveness. The regularity of classes helps me organize and committed to my studies. This routine helps me to foster discipline and time management skills, which are crucial not only for me or my academic success but also for me preparing for future personal responsibilities. Attending classes facilitates interactive learning experiences that are essential for deep understanding and retention of subject matter. In class discussions, assignments, debates and groupworks allow me to engage directly to peers and instructors, gaining diverse perspective and real-time feedback that enriches my learning.

Classes provide access to resources and opportunities that are not easily replicated outside the classroom. This includes access to specialized, equipment, guest lectures and are not supplementary materials that the instructor may provide. Such resources enhance my learning experience by offering deeper insights into the course content and exposing me to diverse perspectives that enrich my educational journey. while flexibility is appealing, the benefits of attending classes, including structured learning, interacting engagement and access to resources far outweigh the drawbacks.

Reguar class attendance is not just about fulfilling requirements but actively investing in my education, maximizing learning opportunities, and preparing myself for future challenges and opportunities. I have also fond to my BYU-Pathway that in order for student to succeeed is to be responsible, to act and be discipline.",31,70.84978,244,12,20.33333,5.49168,90.06158,0.15984,0.04098,3.18081,1.28169,0.81967,0.12380,2.04918
T00033,Reducing Stress,B,327,6,"In the hustle and bustle of modern life, managing stress effectively is essential for maintaining overall well-being. Among the various methods available, I believe that physical exercise, mindfulness practices, and creative pursuits are some of the best ways to reduce stress. Each of these methods provides unique benefits that can significantly improve one's mental and physical health.

Firstly, Physical exercise is a proven way to alleviate stress. Activities such as running, cycling, or practicing yoga stimulate the production of endorphins, the body's natural mood enhancers. For instance, a daily responsibilities and provide a refreshing start to the day. Exercise also improve sleep quality and boosts self-esteem, both of which are essential for reducing stress. The physical exertion allows individuals to release built-up tension and frustration, leading to a calmer and more balanced state of mind.

Secondly, mindfulness and meditation are powerful tools for managing stress. Mindfulness involves staying present and fully engaging with the current moment, which helps individuals detach from their worries and anxieties. Regular meditation practice, even for just ten minutes a day can significantly lower stress levels by calming the mind and promoting a sense of inner peace. For example, practicing deep-breathing exercises or guided meditation can help clear the mind and improve focus, making it easier to handle daily challenges with a more composed attitude.

Lastly engaging in creative pursuits such as gardening, painting, or reading can be incredibly effective for stress reduction. These activities provide a mental escape and allow individuals to immerse themselves in something they find enjoyable and fulfilling. For example, gardening offers a hands-on therapeutic experience that connects individuals with nature and provides a sense of accomplishment as they watch their plants grow.

In conclusion, while people have various ways of coping with stress, physical exercise, mindfulness practices, and creative pursuits stand out as some of the most effective methods. Each of these activities offers specific benifits that help to reduce stress, improve mood, and enhance overall quality of life.",32,73.28348,333,17,19.58824,5.53249,128.96140,0.14715,0.03904,3.02356,1.35354,1.20120,0.06976,0.90090
T00046,Reducing Stress,B,411,6,"Nowadays, we are living in a dog-eats-dog world within cities that ""do not sleep"". Pressure from work, school, business, or anywhere else can be excruciating. I have even heard of some stories of people whose only purpose of going home is to head directly to bed. That situation sounds horrific, but it is a reality to some of us. But what could be the best ways to balance or reduce our stress?

Some people use their spare time to read. Reading can be beneficial as it helps relax the brain from external worries. Books provide perfect stimulation as they aid to providing stimulants to induce what some may call an ""out-of-this-world"" experience. Most readers whom I know vividly imagine scenarios in the novels or stories that they read or may have read.

Some people exercise. And that thought leads me to what Elle Woods from Legally Blonde had stated and I quote, ""Exercise gives you endorphins. Endorphins make you happy"". With that being said, exercise helps people like gym rats to sweat out their anger and frustration with regards to their careers and chosen paths. It also provides you a better physique, in my opinion.

Meanwhile, other people focus on using their ""green thumb"". Gardening, although somehow tiring, is somehow elating as it lets you be closer to nature, even if it is just with a single garden bed or a pot. Before you know it, you might even be self-sufficient with a sustainable garden.

Yet for me to be relaxed, I prefer writing and watching movies. As a child writer/journalist, I got accustomed to writing about my thoughts. I also loved being opinionated about current events and topics that I got to write about those in my old school papers. And when I do not have anything to write about, I watch movies. I do not prefer horror ones as those can induce nightmares and may do the opposite of relieving my stress. Comedy movies were my go-to to release tension in my head and body as I tend to laugh a lot.

But to answer the supposed rhetorical question that I left on the first paragraph, I do think that that sentence is not answerable by a specific answer. We all have our own ""best"" ways of lessening our stress. I have heard of people saying that meditation is the key, but one method does not apply to everyone. We just have to find the best fit that will not lead to burning out.",33,54.12875,424,27,15.70370,5.89092,88.44786,0.05189,0.06604,2.61396,1.35556,0.70755,0.07232,0.47170
T00108,University Living,E,303,6,"Distance, expense, comfort, structure, security, accessibility, and people are some of the things most students consider when choosing a place to live while studying. For instance, I debated with my mom a lot about living arrangements when I was in high school because I want to live at the dorm and while she wants me to stay at home. Now that I will be a college student, I prefer living in apartments in the community so that I can be independent in all aspects of my life.

Having an apartment, provides opportunities to accumulate knowledge based on experience. Budgeting money, time, and energy are best learned through situations that challenges a person. I think that living alone or even with 1 or 2 others, will push me to be more independent. For example, I only learned to be smart in buying groceries when I volunteered as a missionary and lived with one other person.

Another reason is that the distance can improve physical health. Normally, I don't like running. However, if there is a place that offers fresh air and new sights? I will be motivated to jog and take long walks every day. This allows me to take charge of my body.

Being outside the campus, expands social circles. All students are busy and occupied. Having different neighbors who are not all students promotes diversity. Having different kinds of neighbors reminds me of being home, thus preventing homesickness and moments of being alone. Another bonus is the joy one can receive through the opportunities to serve others.

Finally, living in an apartment nurtures emotional resilience. I learned to step out of my comfort zone as I live in an apartment. I love my personal time, but what I appreciate most about living in an apartment is that I have the opportunity to practice trusting myself.",34,60.26875,304,20,15.20000,5.91993,101.33333,0.06579,0.08224,2.77457,1.21127,1.64474,0.06795,0.00000
T00196,Mandatory Attendance,A,366,6,"Classes have always been part of the learning process, starting from pre-school up to college. They foster a learning environment that allows a learner to develop their ability to gain knowledge in different fields of study. In a typical university, students attend classes that are relevant to their major course of study. Additionally, some may take other classes that are not as relevant but helps them to gain a broader knowledge across multiple disciplines. While attending classes are important to develop a student's understanding and learning, some may find the requirement to attend classes to be demanding and overwhelming. Because of this, some argue that classes should only be an option for students. Although I acknowledge the struggles students face in attending these classes, I disagree that they should not be mandatory.

Classes are structured in a way that students are guided with a teacher or instructor to learn specific areas related to their course of study, resulting in a gradual increase of their knowledge in the field over time as they take more classes. By having the option to skip these classes, students may acquire gaps in their learning and may eventually seek other sources to fill this gap. It can be detrimental to a student's learning process if the sources are not as effective as being able to participate in a class gives. The freedom to choose whether to attend a class or not may lighten the workload of university students, especially those juggling with extracurricular activities, jobs, or other responsibilities, however this also reinforces the fact that having a requirement to attend classes can enable the students to develop their ability to balance their time between classes, activities, and other things.

All students have different circumstances, schedules, and workloads, but learning should not become a second priority in their lives. Not being required to attend classes may enforce this idea, which can minimize the development and growth a student should be getting during their time in a university. Attending classes should be mandatory to not only allow the student to learn more and expand their knowledge in their chosen field of study, but to help them develop new skills such as time management and prioritization.",35,56.94166,369,14,26.35714,5.86604,78.44399,0.08672,0.05962,3.57531,1.25000,1.08401,0.14572,0.00000
T00206,Mandatory Attendance,A,496,6,"For me, A University marks a significant transition from a calm environment of highschool to the greater freedom and independence of higher learning. This newfound autonomy often leads to debate over wether going to class should be requried or optional for university students. While some say that self-learning is mor effective, the benefits of requreid class attendence far outweigh the drawbacks. University classes provide a dynamic and interactive place for students to gain knowledge, and to obtain crictical skills, and to have a place of gathering, all of this in my thinking is necssary for academic success and personal growth.

Firstly, University classes provide us with a new way for our professors or teahcers to help give us information in a engaging and helpful way. Lectures allow our teachers to explain, and go into detail on important and complex topics, also to clarify misconceptions, and provide real examples from everyday life that even our textbooks dont have. Furthermore, Professors can adapt their lectures to the needs of each student adressing questions and areas of confusion during their cours. This type of dynamic exchange is simply not possible through self -learning, where students are left to figure out hard concepts on their own.

Secondly, attending classes helps improve the develpoment of crictical thinking skills. Class discussions help encourage students to analyze information from multiple angles, engage in respectful debates, and defend their own ideas. By actviley joining in these discussions, students learn to bring about their thoughts in a clear and concienscieus matter, a valuable abillity that extends far beyond the classroom . additionally, professors can pose challenging questions and current counter -arguments, prompting students to go depper ino the course material and develop a more clear understanding of the subject matter . While self-paced learning allows for students to work at their own-speed, it can also lead to a superficial understandign of complex topics without the stressing engagmnt of a clasroom discussion.

Thirdly, required class attendacne helps to a stronger sense of fellowship with the university. Attending classes allows for students to connect with their peers, share ideas, and form study groups that can help give invaluable support throught their semester. This sense of friendship can be particulary beneficial for the first year students who are trying to make their way through college. Further more, interacting with classmates from different places allwos students to develop patience, love, and the ability to work effectivly with others, all essential skills for success in the professinal world. While online learning platforms can give some level on interaction, they cannot recreate the absolute importance of connections formed through in person interaction.

In conclusion, while proponets of optinal attendance highlight the benefits of self learning, the real advantages of mandatory class are undeniable. University classes provide an irreplaceable area for knowledge, critical thinking growth, and felowshiping the community/university. Throught choosing to be in class and to particapate studnets can expect real growth and succes in the life that awaits them beyond their grauation.",36,54.03310,500,21,23.80952,5.43338,115.53030,0.07800,0.05200,2.92473,1.17647,0.60000,0.08446,8.40000
T00001,Reducing Stress,B,573,5,"""Do not try to control things you cannot control."" is an advice written in the missionary guidebook called, Adjusting to Missionary Life. Stress is common and natural in our daily lives, we often experience it when everything seems not going as we ought and planned. When problems are stacking the way we never imagined. Just as how we agreed before to our Father in Heaven that living here on earth we will experience sorrows and challenges; we agreed also in feeling stressed when we will live here on earth. I too deal with constant stress due as I try to reach my goals in life. As some of us try to do, we can never escape feeling and experiencing stressed, so instead of trying to control and avoid it, we should try to control how we react to when we will be facing it. I have put effort in discovering what are the best way for me to reduce stress when I am faced by it. I reduced my stress simple on focusing on my strengthening my spirituality, like reading the Book of Mormon, and asking for Power of my Savior's atonement.

They say when you want Heavenly Father talk to you, read the Book of Mormon. Reading the Book of Mormon is one of my routine when I feel stress. I simple find comfort in the words of God. I have proven this to myself that I reduced feeling stress when I read the Book of Mormon specifically on a time before when I was overloaded with school works when I was in high school, being overwhelmed with everything, I gave time to read my Book of Mormon, there in the chapter I read a verse indicated that we ""are encircled upon the arms"" of our Savior Jesus Christ. I was then calmed downed and immediately felt the peace that I need that time, and was comforted that I can do everything despite being overloaded with work. I passed all I needed to pass that time to my teacher, if it weren't my decision to pause and give to read the Book of Mormon, I wouldn't have received that comfort and passed that subject.

The Savior have atoned not only for my sins but also for all the sadness and stress I would feel. Upon understanding that I have always included in my prayer to ask for the Power of the atonement of Jesus Christ. I specifically experienced this when I got stressed when I applied for my first job, I felt I overwhelmed and unqualified, I do not seem to function that time. I prayed and asked for His atonement to work on me, I immediately felt his arms wrapped around me to assure I can get the job, what I feel is normal. I just have to do everything I can and we will get that through together. Without the comfort I have felt, I wouldn't have got the job. The Savior's Atonement is power for us in times of stress.

Feeling stressed is a part of life it is simply there. We caRemember that when temporally everything is out the way we planned, we can rely and resort to divine assistance, surely other ways and studies are proven to reduce stress but that is nothing compared to the peace and comfort we yearn and we can feel through our Father in Heaven and our Savior Jesus Christ.",37,42.92809,572,24,23.83333,6.01215,57.50975,0.05594,0.09441,3.10207,1.21429,0.34965,0.10491,1.74825
T00011,Reducing Stress,B,431,5,"""Change is the constant thing in life"" as my companion in the mission taught me. In this world full of trials and worries about life it really can be really challenging trying to escape stress and difficulties. However, in our modern way people tend to think in many ways on how they can reduce their own stress. We live in a modern world where the resources are almost available anywhere. We have modern technologies, we have our parents and leaders.

To begin with, in my opinion the best way on reducing stress is to serve others with full of heart. In fact, researchers says people who serve others tend to be happier than others who are thinking deeply or watching movies or staying at home. For an example, when I was on the 5th month of my mission I had a companion who didn't had the strength going outside to teach people. He was very sick and on that day I felt that there is something missing. Every time we didn't have the opportunity serving others or minister others there's something wrong with my mood even today as a returned missionary. Service for me is the best way to reduce stress.

In addition, I agree that one way of reducing stress is having time for yourself meditating and reading in a quiet place. Reading book for me is my kind of meditating. Whenever I read books, I can get away from reality. I love reading books. In my experience since I was fascinated in reading books about myths, legends, magic and science, changed the way how I act and think. I'm grateful that those books specially the scriptures really changed my behavior.

Furthermore, one way of reducing stress is to have time for your family. Travel with the family, have fun activities at home or at church, do family home evenings and scripture study constantly. Having a quality time with your family is one of the best ways for you to reduce your stress. Family meaning love ones. It can be your dog, your friends, your relatives or someone who is close to your heart.

In this world no man is an Island. In my opinion those examples of reducing stress are the best ways.

In conclusion, those ways that I've shared is through experience. It is centered on what the Gospel taught me as a son of God. There are may ways on how we can reduce our self. We have different personalities. Find ways on how you can better reduce or control stress.",38,48.13896,424,29,14.62069,6.01686,78.57298,0.04009,0.04481,2.58281,1.06306,0.70755,0.07705,0.94340
T00017,Reducing Stress,B,170,5,"Easy ways to feel better

In our busy lives, stress is something we all deal with. But there are simple things we can do to feel better. One easy way is to get moving! Doing exercises like walking, running, or yoga helps our bodies relax and makes us feel happier. Find something you enjoy and do it regularly - it can help you feel less stressed.

Another way to feel better is to take time to relax our minds. This is called mindfulness. You can do it by breathing deeply or paying attention to your body's feelings. Taking a few minutes each day to do this can help calm your mind and make stress feel less overwhelming.

Lastly, don't forget to take care of yourself. Spend time with people you care about, do things you love, and give yourself breaks when you need them. Taking care of yourself is important, and it's okay to put yourself first sometimes. By doing these simple things, you can beat stress and feel better overall.",39,46.52854,170,13,13.07692,5.94900,68.31061,0.04118,0.09412,2.18462,0.88889,0.00000,0.06795,0.00000
T00022,Reducing Stress,B,320,5,"I believe every individual in today's era, are facing a lot challenges and problems in life. To deal with it, sometimes, can really be draining and stressful. But luckily experts like doctors and psychologist offered ways to we can relieve from stress. In my personal life I also experienced stress, as humans our strength in all aspects of our existence is limited. To me the best way to reducing stress is exercise. As an experience while serving a full-time mission, life there can be physically and emotionally demanding. There were times I struggled waking up exactly 6:30 due to overfatigue, and also there were times I would wake up at night and could go back to bed. This caused me to have stress and lose focus. I addressed this concern to my Mission President and his response to me was to do hard exercise in the morning and keep yourself busy. So I followed his counseled and yes, I relieve myself from stress by doing hard exercise.

Moreover, other ways that we can reduce our stress is to keep ourselves busy. For example reading and studying the scriptures, playing video games, and playing sports. In our life sometimes we think about ourselves too much that it creates patterns that would lead to stress and depression. But a prophet named Gordon B. Hinckley once said that ""the antidote for worry is work"". Similarly, the antidote to reduce our stress is to keep ourselves busy.

To sum it up, I know life is hard but stress and other challenges exist in order for us to grow. Without it there will be no room for progress, we would be be perfect but such a thing will not exist in this life. Life in this modern world is very demanding but we have resources that we could use to reduce and to cope from our stress, we just need to learn and put it into action.",40,54.35159,321,18,17.83333,5.94589,80.66054,0.07788,0.06231,2.47075,1.04348,1.24611,0.07936,1.24611
T00044,Reducing Stress,B,302,5,"Living independently in college, having to handle everything on my own, I found doing these simple things makes me feel better and has helped me cope up with the stress that I'm feeling in that certain moment.

First and foremost, prayer. A simple prayer makes me feel comforted in almost everything, even more when facing difficulties and challenges in life that I found stressful to handle alone. Knowing that I'm not carrying my burdens all by myself makes me feel comforted and somehow lessen the stress that I'm feeling. Growing up in the church, I have felt and I'm blessed to know that we have our savior Jesus Christ and Heavenly Father that is always willing to help us and guides us throughout our journey in this life.

Knowing that they do helps us in the most mysterious ways have led me into conclusion on how blessed I am to have certain people in my life making me realized that I'm never alone which is why after praying, I called or message my family or friend to share my feelings and in times when I don't feel like doing it, I resort to just simply writing my feelings on a paper and it helped a lot.

Lastly I keep in mind that I should be stronger than my own thoughts, that is why during those ""stressful"" times I always try to look for the bright side of any situation knowing that I may struggle right now, I'll make sure that it is for me to learn something that will benefit me in the future and that all of these struggles will be my stepping stone as I navigate my life in this earth. Having a mindset like that changes how I face challenges and perceive life and the stress that goes along with it.",41,47.26624,304,8,38.00000,6.02921,74.93617,0.03947,0.12500,4.98485,1.60000,0.00000,0.10901,0.65789
